id_venta,id_cliente,id_producto,categoria,ciudad,mes,cantidad,precio_unit,total
1,7,15,Electrónica,Madrid,Marzo,5,312.88,1564.4
2,20,7,Alimentación,Madrid,Mayo,5,185.5,927.5
3,15,1,Hogar,Madrid,Abril,6,65.64,393.84
4,11,4,Deportes,Sevilla,Marzo,3,339.07,1017.21
5,8,13,Hogar,Bilbao,Enero,8,264.95,2119.6
6,7,4,Alimentación,Barcelona,Enero,1,388.44,388.44
7,19,14,Alimentación,Barcelona,Febrero,6,264.88,1589.28
8,11,5,Hogar,Sevilla,Marzo,4,427.57,1710.28
9,11,7,Alimentación,Barcelona,Abril,1,280.43,280.43
10,4,7,Hogar,Madrid,Mayo,7,284.86,1994.02
11,8,13,Ropa,Bilbao,Mayo,9,439.56,3956.04
12,3,15,Hogar,Valencia,Abril,4,207.71,830.84
13,2,11,Hogar,Barcelona,Junio,4,75.67,302.68
14,12,13,Alimentación,Madrid,Febrero,6,24.1,144.6
15,6,4,Alimentación,Valencia,Mayo,3,380.02,1140.06
16,2,13,Electrónica,Bilbao,Marzo,6,313.95,1883.7
17,1,7,Electrónica,Valencia,Febrero,7,355.0,2485.0
18,12,11,Ropa,Madrid,Marzo,3,114.35,343.05
19,12,3,Electrónica,Valencia,Enero,7,76.82,537.74
20,17,6,Hogar,Sevilla,Febrero,3,17.13,51.39
21,10,12,Alimentación,Valencia,Mayo,2,181.79,363.58
22,16,2,Electrónica,Barcelona,Febrero,4,299.06,1196.24
23,15,10,Electrónica,Barcelona,Febrero,8,202.2,1617.6
24,15,13,Ropa,Sevilla,Febrero,9,224.36,2019.24
25,19,14,Ropa,Madrid,Junio,7,453.04,3171.28
26,12,9,Hogar,Barcelona,Febrero,1,180.65,180.65
27,20,5,Alimentación,Bilbao,Marzo,3,261.85,785.55
28,3,6,Ropa,Barcelona,Enero,9,393.99,3545.91
29,5,12,Electrónica,Barcelona,Abril,1,204.31,204.31
30,19,12,Alimentación,Madrid,Febrero,9,314.82,2833.38
31,7,12,Alimentación,Valencia,Mayo,8,432.56,3460.48
32,9,12,Electrónica,Barcelona,Febrero,1,475.27,475.27
33,7,4,Ropa,Sevilla,Mayo,6,82.07,492.42
34,18,14,Electrónica,Valencia,Marzo,5,464.03,2320.15
35,4,14,Alimentación,Bilbao,Mayo,6,251.14,1506.84
36,14,11,Deportes,Madrid,Abril,5,136.54,682.7
37,18,10,Deportes,Bilbao,Enero,6,234.98,1409.88
38,9,7,Hogar,Valencia,Mayo,5,490.22,2451.1
39,2,12,Electrónica,Valencia,Mayo,5,251.38,1256.9
40,20,9,Electrónica,Valencia,Enero,4,171.09,684.36
41,15,7,Hogar,Bilbao,Abril,3,320.37,961.11
42,7,14,Hogar,Valencia,Febrero,3,127.67,383.01
43,12,1,Hogar,Bilbao,Mayo,4,47.17,188.68
44,8,1,Alimentación,Valencia,Enero,9,73.15,658.35
45,15,9,Electrónica,Sevilla,Marzo,2,72.74,145.48
46,3,11,Alimentación,Valencia,Enero,9,84.43,759.87
47,14,14,Hogar,Bilbao,Marzo,1,78.03,78.03
48,17,9,Electrónica,Barcelona,Abril,1,324.03,324.03
49,4,4,Alimentación,Valencia,Febrero,5,99.12,495.6
50,18,13,Alimentación,Barcelona,Enero,6,179.38,1076.28
51,8,9,Hogar,Sevilla,Junio,6,449.43,2696.58
52,4,3,Electrónica,Madrid,Mayo,3,242.24,726.72
53,2,7,Hogar,Sevilla,Abril,7,337.1,2359.7
54,6,6,Electrónica,Valencia,Enero,9,94.44,849.96
55,10,8,Deportes,Barcelona,Mayo,8,104.22,833.76
56,4,11,Ropa,Barcelona,Enero,6,30.03,180.18
57,18,9,Ropa,Bilbao,Marzo,8,92.78,742.24
58,12,14,Ropa,Barcelona,Enero,5,146.51,732.55
59,2,5,Hogar,Bilbao,Junio,8,96.74,773.92
60,10,1,Deportes,Madrid,Enero,4,53.46,213.84
61,4,3,Electrónica,Valencia,Enero,8,69.11,552.88
62,14,10,Alimentación,Bilbao,Junio,2,235.78,471.56
63,16,12,Electrónica,Madrid,Abril,5,111.1,555.5
64,15,8,Alimentación,Barcelona,Enero,9,188.49,1696.41
65,8,15,Electrónica,Barcelona,Junio,4,256.67,1026.68
66,14,11,Deportes,Madrid,Mayo,6,348.29,2089.74
67,8,6,Alimentación,Barcelona,Marzo,1,29.26,29.26
